,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"PACE, RATINGS, EFFICIENCY",,,,,,,,,,,SHOOTING FREQUENCY AND EFFICIENCY,,,,,,,,,,,PLAYMAKING,,,,,,,REBOUNDS,,,,,,,,,DEF. EFFORTS,,FOULS,,ADVANCED METRICS,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER ON,,,,,,,,,,,,TEAM AND OPPONENT STATS - PLAYER OFF,,,,,,,,,,,,TEAM AND OPPONENT STATS - ON-OFF DIFFERENCE,,,,,,,,,,,
Silvio De Sousa,Angola,5,1,4,20%,"15,6","11,6","4,4",7,63%,0,"0,2",0%,"4,4","7,2",61%,"2,8",5,56%,"3,8",3,"6,8","0,4","1,4","0,4","0,4",0,"3,2",0,10,"-2,4","10,8",20%,"1,07",96,108,-12,"107,6",103,"4,6",61%,62%,44%,"1,5",19%,"0,8",2%,0,0%,-,2%,0,20%,13%,3%,3%,7%,0%,4%,"0,3","15,00%","16,40%","13,20%","6,30%","14,00%","18,80%","8,60%","0,00%","14,50%","0,90%","1,30%","7,5",0,"40,6","0,1","0,2","0,3","0,131","-7,3","-1,2","-8,5","-1,4","81,1",96,108,-12,45%,39%,13%,13%,58%,20%,16%,16%,"76,3","89,3","108,4",-19,45%,42%,14%,12%,57%,48%,17%,12%,"4,8","6,7","-0,4",7,1%,-3%,-1%,1%,1%,-28%,-1%,4%
Kevin Kokila,Angola,5,1,4,20%,"16,4","2,8","1,2","2,4",50%,0,"0,8",0%,"1,2","3,2",38%,"0,4","0,4",100%,"1,4","2,8","4,2","0,6","0,4","0,4","0,4",0,"2,4",0,"3,6",-10,"3,8",6%,"0,74","90,2","113,4","-23,2","91,1","108,1","-17,1",38%,41%,42%,"1,25",21%,"0,5",0%,-,0%,-,21%,0,5%,11%,3%,2%,5%,3%,14%,"1,5","4,80%","6,60%","3,40%","0,00%","13,20%","9,10%","15,30%","0,00%","8,30%","0,80%","1,10%",5,0,"10,2",0,"0,1","0,1","0,047","-11,9","1,5","-10,4","-1,9","77,1","90,2","113,4","-23,2",43%,35%,13%,12%,60%,25%,16%,17%,"82,3",98,"99,3","-1,3",49%,47%,14%,15%,53%,35%,18%,10%,"-5,2","-7,8","14,1","-21,9",-6%,-12%,-1%,-3%,7%,-10%,-2%,7%
Marco Spissu,Italy,8,4,4,50%,"26,9","12,1","1,1","2,6",43%,"2,9",6,48%,4,"8,6",46%,"1,3","1,3",100%,"0,6","2,9","3,5","5,1","2,1",1,0,0,"2,8",0,"12,3",3,"11,1",36%,"1,09","118,9","104,6","14,3","124,5","90,1","34,4",63%,67%,8%,"1,43",7%,"0,67",8%,"0,57",4%,"1,5",45%,"1,35",3%,19%,53%,35%,113%,39%,32%,"2,4","4,70%","2,10%","4,90%","0,00%","22,50%","12,50%","25,00%","0,00%","13,40%","3,70%","0,00%","10,1",0,"19,9","0,6","0,3","0,9","0,174","8,8","0,3","9,1","6,6","75,6","118,9","104,6","14,3",59%,32%,13%,9%,57%,31%,20%,9%,"76,8","93,2","105,7","-12,6",49%,26%,14%,8%,57%,19%,15%,11%,"-1,2","25,7","-1,1","26,8",10%,6%,-1%,1%,0%,12%,6%,-2%
Stefano Tonut,Italy,8,4,4,50%,"23,5","10,4","3,5","5,8",61%,"0,6","2,5",25%,"4,1","8,3",50%,"1,5","1,8",86%,"0,5","1,4","1,9","2,1","1,4",1,0,0,"1,8",0,"7,9","1,8","10,4",33%,1,"114,7",103,"11,8","113,2",95,"18,2",54%,58%,25%,"1,52",17%,"0,86",5%,1,1%,0,18%,1,6%,13%,21%,11%,29%,15%,17%,"1,5","3,80%","2,00%","3,60%","0,00%","9,60%","4,30%","12,10%","0,00%","6,80%","3,40%","0,00%","5,9",0,"15,9","0,2","0,3","0,5","0,103","-2,3","-0,3","-2,6","-0,3","74,4","114,7",103,"11,8",60%,30%,16%,10%,55%,25%,16%,11%,"77,7","95,2","107,1",-12,48%,27%,12%,7%,59%,24%,18%,10%,"-3,4","19,6","-4,2","23,8",12%,3%,4%,3%,-4%,1%,-2%,0%
Nicolo Melli,Italy,8,4,4,50%,"27,4","7,5","2,8","5,6",49%,"0,4","1,3",30%,"3,1","6,9",45%,"0,9","1,8",50%,"2,5","4,8","7,3","3,4","1,3","0,9","0,8",0,"2,6",0,"11,3","6,1",9,19%,"0,83","112,4","97,6","14,8","112,7","88,2","24,5",48%,49%,22%,"1,38",18%,"0,92",14%,"0,2",0%,-,11%,"0,75",8%,14%,20%,14%,23%,15%,27%,"2,7","11,70%","6,80%","11,40%","28,60%","23,00%","15,40%","15,60%","25,00%","17,30%","2,10%","2,20%","6,4",0,16,"0,2","0,5","0,8","0,137","-1,8","3,5","1,7","2,2","75,1","112,4","97,6","14,8",55%,31%,12%,8%,53%,22%,18%,9%,"78,2","88,7","117,9","-29,2",50%,23%,17%,7%,63%,29%,16%,13%,"-3,1","23,7","-20,3",44,5%,8%,-5%,1%,-10%,-7%,2%,-5%
Simone Fontecchio,Italy,8,4,4,50%,"25,3","15,8","3,9","6,1",63%,"1,8",7,25%,"5,6","13,1",43%,"2,8","3,3",85%,"0,6","4,3","4,9","1,3",2,"0,8","0,5",0,"2,1",0,11,"1,1","16,6",31%,"0,95","106,7","104,6",2,"91,8","97,2","-5,5",50%,54%,13%,"1,53",14%,"1,26",10%,"0,92",7%,1,35%,"0,7",9%,12%,8%,6%,11%,8%,7%,"0,6","2,70%","1,20%","2,60%","11,10%","17,70%","16,70%","12,20%","37,50%","10,30%","1,50%","1,30%","4,4",0,"18,5","-0,2","0,5","0,2","0,045",-3,"-0,9","-3,9","-1,1","76,8","106,7","104,6",2,56%,24%,14%,9%,56%,24%,17%,9%,"75,1","94,5",107,"-12,5",46%,36%,13%,6%,59%,25%,17%,14%,"1,7","12,2","-2,4","14,6",10%,-13%,1%,2%,-3%,-1%,0%,-5%
Giampaolo Ricci,Italy,8,4,4,50%,"21,5","9,6","2,4","4,3",56%,"1,4","3,5",39%,"3,8","7,8",48%,"0,8",1,75%,"1,4","2,1","3,5","0,5","1,4","0,6","0,6",0,3,0,"6,3","-2,8","9,5",20%,"1,01","99,1",107,"-7,9","100,2","101,5","-1,3",57%,60%,16%,"1,33",16%,1,9%,"0,86",3%,0,30%,"1,3",3%,14%,3%,2%,7%,0%,5%,"0,4","6,40%","4,10%","5,40%","14,30%","10,50%","7,00%","10,20%","0,00%","8,40%","1,50%","1,90%","7,3",0,"13,9",0,"0,3","0,3","0,061","-2,9","1,1","-1,8","0,1","76,7","99,1",107,"-7,9",52%,23%,14%,9%,56%,24%,15%,11%,"75,6","110,6","102,5","8,1",56%,35%,13%,6%,58%,24%,20%,9%,1,"-11,5","4,5",-16,-4%,-12%,1%,3%,-2%,0%,-5%,2%
Matteo Spagnolo,Italy,8,4,4,50%,6,"1,8","0,6","1,5",42%,0,"0,3",0%,"0,6","1,8",36%,"0,5","0,5",100%,"0,4","0,5","0,9","0,6","0,4","0,3",0,0,"0,4",0,"1,6","0,8","2,4",11%,"0,74","101,4","94,5","6,9","103,3",96,"7,3",36%,47%,16%,"0,67",5%,2,26%,"0,8",0%,-,11%,0,5%,16%,8%,3%,11%,0%,21%,"1,7","3,70%","0,00%","3,80%","0,00%","5,60%","4,30%","6,10%","0,00%","4,60%","1,40%","0,00%","2,1",0,"10,9",0,"0,2","0,2","0,156","-5,9","0,6","-5,2","-0,4","72,3","101,4","94,5","6,9",50%,32%,13%,7%,53%,18%,18%,13%,"77,9","104,1","109,3","-5,2",55%,26%,14%,8%,59%,27%,17%,10%,"-5,6","-2,8","-14,8","12,1",-5%,5%,-1%,-2%,-6%,-8%,2%,3%
Achille Polonara,Italy,8,4,4,50%,"19,1","5,5","1,5","2,9",52%,0,"2,8",0%,"1,5","5,6",27%,"2,5","2,9",87%,"1,9","2,8","4,6","1,1","0,9","0,4","0,1",0,"1,1",0,"5,3",-4,"7,9",20%,"0,7","105,4","114,3","-8,9","82,3","107,2","-24,9",27%,39%,16%,"1,4",16%,"0,6",0%,-,2%,0,29%,0,17%,11%,9%,9%,6%,0%,13%,"1,3","11,00%","16,90%","3,70%","16,70%","16,50%","17,90%","10,00%","0,00%","13,80%","1,10%","0,40%","3,2",0,"10,3","-0,3","0,2","-0,1","-0,03","-5,1","0,1",-5,"-1,3","76,2","105,4","114,3","-8,9",55%,26%,14%,9%,61%,26%,16%,8%,"76,4","101,2","95,2","5,9",52%,29%,13%,7%,53%,23%,18%,14%,"-0,2","4,3","19,1","-14,8",3%,-3%,1%,2%,8%,3%,-2%,-6%
Mouhamet Diouf,Italy,8,4,4,50%,"1,5","0,6","0,3","0,5",50%,0,"0,1",0%,"0,3","0,6",40%,"0,1","0,3",50%,"0,1","0,3","0,4",0,0,"0,1",0,0,"0,1",0,"0,5","-0,4","0,8",300%,"0,83",0,150,-150,75,0,75,40%,50%,17%,2,17%,0,17%,2,0%,-,17%,0,0%,0%,0%,0%,-,-,0%,0,"100,00%","0,00%",-,-,"200,00%",-,-,"100,00%","150,00%","50,00%","0,00%",50,0,"16,9",0,0,0,"0,001","-7,1","-1,4","-8,5","-0,2",-,0,150,-150,0%,0%,50%,0%,75%,0%,0%,0%,"76,3","103,8","105,1","-1,3",53%,28%,14%,8%,57%,24%,17%,11%,"-76,3","-103,8","44,9","-148,7",-53%,-28%,36%,-8%,18%,-24%,-17%,-11%
Luca Severini,Italy,8,4,4,50%,"10,4","1,6","0,1","0,5",25%,"0,4","1,9",20%,"0,5","2,4",21%,"0,3","0,8",33%,"0,8","1,1","1,9","0,6","0,4","0,5",0,0,"1,6",0,"0,3","0,6",3,19%,"0,54","99,1","93,9","5,2","76,4","85,7","-9,4",29%,33%,8%,1,4%,0,0%,-,17%,"1,5",38%,"0,33",4%,13%,11%,7%,17%,0%,17%,"1,7","10,20%","7,10%","7,90%",-,"17,30%","11,10%","20,00%","0,00%","13,50%","3,50%","0,00%","11,3",0,"2,3","-0,1","0,2","0,1","0,029","-4,6","1,7","-2,9","-0,2","76,7","99,1","93,9","5,2",52%,20%,14%,4%,53%,21%,19%,21%,"76,2","104,5","108,4","-3,9",53%,30%,14%,9%,58%,25%,17%,8%,"0,5","-5,4","-14,5","9,1",-1%,-10%,0%,-5%,-5%,-4%,2%,13%
Gabriele Procida,Italy,8,4,4,50%,"6,8","2,4","0,9","1,3",70%,"0,1","1,3",10%,1,"2,5",40%,"0,3","0,5",50%,"0,8","0,5","1,3","0,1","0,8","0,4","0,1",0,"0,6",0,"1,1","-7,6","3,5",23%,"0,68","76,1","123,1",-47,"85,7","119,6","-33,9",43%,45%,11%,2,7%,1,7%,1,7%,0,14%,0,4%,21%,4%,0%,17%,0%,3%,"0,2","8,70%","6,70%","0,00%",-,"10,30%","6,70%","10,70%","0,00%","9,30%","2,80%","1,20%","4,6",0,"8,4","-0,1",0,"-0,2","-0,118","-4,8",1,"-3,9","-0,3","79,7","76,1","123,1",-47,38%,23%,13%,4%,71%,8%,15%,10%,"75,4","110,4","100,7","9,6",57%,29%,14%,9%,54%,27%,18%,11%,"4,3","-34,2","22,4","-56,6",-19%,-6%,-1%,-5%,17%,-20%,-2%,-1%
Alessandro Pajola,Italy,8,4,4,50%,"17,6","4,3","0,5","1,1",44%,"0,8","1,6",46%,"1,3","2,8",45%,1,1,100%,"0,6","1,9","2,5",4,"0,5","0,9",0,0,"2,3",0,"7,4","-2,8","3,8",10%,"1,13","94,9","104,9",-10,"156,5","98,5",58,59%,65%,10%,0,7%,2,7%,1,3%,0,30%,"1,67",13%,13%,32%,33%,44%,11%,52%,8,"3,60%","1,70%","4,30%","0,00%","12,20%","4,40%","13,20%","7,10%","7,60%","2,60%","0,00%","6,8",0,18,"0,6","0,3","0,9","0,243","1,5",0,"1,5","1,4","76,7","94,9","104,9",-10,50%,20%,14%,7%,58%,23%,18%,14%,"75,9","112,3","105,6","6,7",56%,36%,13%,9%,57%,26%,16%,7%,"0,8","-17,4","-0,7","-16,7",-6%,-16%,1%,-1%,1%,-3%,1%,6%
Luigi Datome,Italy,8,4,4,50%,"13,8","7,8","1,3","2,3",56%,"1,4","4,5",31%,"2,6","6,8",39%,"1,1","1,3",90%,0,"1,1","1,1","0,6","0,4","0,3",0,0,"1,4",0,"3,8","-3,4","7,6",22%,"1,02","91,8","110,8",-19,100,"109,5","-9,4",49%,54%,2%,2,5%,"0,67",18%,"0,91",13%,"1,13",34%,"0,57",5%,5%,6%,3%,10%,6%,8%,"1,7","0,00%","0,00%","0,00%","0,00%","7,80%","4,90%","3,70%","40,00%","3,60%","0,80%","0,00%","4,6",0,14,"-0,1","0,1",0,"-0,015","-2,3","-1,9","-4,2","-0,7","79,5","91,8","110,8",-19,48%,19%,13%,7%,60%,22%,16%,9%,"73,5",114,"100,7","13,3",58%,36%,15%,9%,55%,27%,18%,12%,6,"-22,2","10,1","-32,3",-10%,-18%,-2%,-1%,5%,-5%,-2%,-3%
Miro Little,Finland,5,2,3,40%,"17,6",5,"1,4","2,2",64%,"0,4","1,2",33%,"1,8","3,4",53%,1,"1,2",83%,1,"0,8","1,8","4,6",2,"0,8",0,0,"1,4",0,7,"-1,8",6,15%,"0,83","105,2","109,8","-4,6","125,6","104,8","20,7",59%,63%,27%,"1,25",7%,1,3%,2,7%,0,13%,"1,5",10%,33%,33%,27%,44%,40%,43%,"2,3","6,60%","0,00%","9,40%","0,00%","5,50%","2,60%","7,70%","0,00%","6,00%","2,30%","0,00%",4,0,"14,4","0,2","0,1","0,4","0,167","0,7",-3,"-2,3","-0,1","77,3","105,2","109,8","-4,6",57%,29%,19%,7%,59%,27%,16%,10%,"76,4","115,1","117,7","-2,6",61%,35%,16%,9%,61%,30%,14%,10%,"0,9","-9,9","-7,9",-2,-3%,-6%,2%,-2%,-3%,-2%,3%,1%
Alex Murphy,Finland,5,2,3,40%,4,"0,8","0,4","1,4",29%,0,0,-,"0,4","1,4",29%,0,0,-,"0,4","0,4","0,8","0,2",0,"0,2",0,0,"0,6",0,"0,4","-1,2","1,4",23%,"0,57",80,"111,1","-31,1","74,1","103,7","-29,6",29%,29%,57%,"0,5",29%,1,14%,0,0%,-,0%,-,-,0%,10%,14%,0%,0%,13%,"0,2","22,20%","0,00%","40,00%","0,00%","15,40%","14,30%","12,50%","0,00%","18,20%","3,70%","0,00%","11,1",0,"4,7",0,0,0,"-0,054","-3,7","-0,6","-4,3","-0,1","97,3",80,"111,1","-31,1",55%,11%,29%,6%,63%,8%,14%,11%,"75,5","113,3","114,5","-1,2",59%,34%,16%,8%,60%,30%,15%,10%,"21,8","-33,3","-3,4","-29,9",-5%,-22%,13%,-2%,2%,-23%,0%,1%
Sasu Salin,Finland,5,2,3,40%,"25,2","9,4","0,2","1,4",14%,"2,8","7,2",39%,3,"8,6",35%,"0,6","0,6",100%,"0,4","1,6",2,"2,6","0,8","0,8","0,2",0,"1,4",0,"7,2","1,4","9,6",18%,"0,98",117,"111,1",6,"105,1","105,8","-0,7",51%,53%,2%,2,6%,0,6%,0,13%,1,63%,"1,2",2%,8%,13%,13%,19%,5%,21%,"3,3","1,80%","0,00%","2,90%","0,00%","8,00%","5,70%","9,60%","0,00%","4,80%","1,70%","0,50%",3,0,12,0,"0,2","0,2","0,067","0,4","-1,8","-1,3","0,2","76,2",117,"111,1",6,60%,31%,15%,8%,59%,28%,16%,10%,"77,7","101,3",119,"-17,7",58%,34%,20%,8%,61%,30%,12%,10%,"-1,5","15,7","-7,9","23,7",2%,-3%,-5%,0%,-2%,-2%,4%,0%
Olivier Nkamhoua,Finland,5,2,3,40%,18,8,"2,4",4,60%,"0,8","1,6",50%,"3,2","5,6",57%,"0,8",1,80%,"1,2","2,6","3,8",2,"2,4","0,4",1,0,2,0,"8,2","-6,6","8,4",18%,"0,95","106,5","123,6","-17,1","108,3","115,8","-7,5",64%,67%,14%,"1,67",17%,"1,14",17%,"0,86",0%,-,19%,"1,5",5%,29%,12%,9%,19%,8%,19%,"0,8","6,60%","4,40%","7,40%","0,00%","14,30%","16,30%","6,60%","12,50%","10,40%","0,90%","2,70%","4,7",0,"15,2","0,1",0,"0,1","0,048","-2,8",1,"-1,8",0,"80,7","106,5","123,6","-17,1",60%,23%,19%,7%,65%,26%,14%,8%,"72,4",116,"103,3","12,7",59%,41%,16%,10%,55%,32%,15%,12%,"8,3","-9,5","20,3","-29,7",1%,-18%,3%,-3%,10%,-5%,-1%,-3%
